London,UK,51.51121389999999,-0.11982439999997041
Edinburgh,UK,55.953252,-3.188266999999996
Belfast,UK,54.59728500000001,-5.930119999999988
Liverpool,UK,53.4083714,-2.9915726000000404
Cardiff,UK,51.48158100000001,-3.1790899999999738
Helston,UK,50.101593,-5.274995999999987
Lerwick,UK,60.155823,-1.1445690000000468
Scapa,UK,58.962408,-2.973343
Aberystwyth,UK,52.41530299999999,-4.082920000000058
Portsmouth,UK,50.8166667,-1.0833333000000493
Bristol,UK,51.454513,-2.5879099999999653
Stoke-on-Trent,UK,53.002668,-2.179403999999977
Glasgow,UK,55.864237,-4.251805999999988
Woking,UK,51.316774,-0.5600349000000051
Cambridge,UK,52.205337,0.12181699999996454
Broadstairs,UK,51.360163,1.4320380000000341
Norwich,UK,52.6308859,1.2973550000000387
